SID,BASIN,SEASON,NAME,exclusion_reason
 , ,Year, ,Not in target basins
1956093S14154,SP,1956,UNNAMED,Not in target basins
1956097S18162,SP,1956,UNNAMED,Not in target basins
1956140N13247,EP,1956,UNNAMED,Not in target basins
1956151N16256,EP,1956,UNNAMED,Not in target basins
1956161N17253,EP,1956,UNNAMED,Not in target basins
1956161N17255,EP,1956,UNNAMED,Not in target basins
1956165N13263,EP,1956,UNNAMED,Not in target basins
1956191N18252,EP,1956,UNNAMED,Not in target basins
1956197N17238,EP,1956,UNNAMED,Not in target basins
1956236N17247,EP,1956,UNNAMED,Not in target basins
1956247N18235,EP,1956,UNNAMED,Not in target basins
1956248N16245,EP,1956,UNNAMED,Not in target basins
1956257N17255,EP,1956,UNNAMED,Not in target basins
1956257N18131,EP,1956,FREDA,Not in target basins
1956263N15142,EP,1956,HARRIET,Not in target basins
1956291N18245,EP,1956,UNNAMED,Not in target basins
1956316S12157,SP,1957,UNNAMED,Not in target basins
1956322S15169,SP,1957,UNNAMED,Not in target basins
1956351S10133,SP,1957,UNNAMED,Not in target basins
1956357S26152,SP,1957,UNNAMED,Not in target basins
1956357S26154,SP,1957,UNNAMED,Not in target basins
1957002S14144,SP,1957,UNNAMED,Not in target basins
1957008S19132,SP,1957,UNNAMED,Not in target basins
1957016S11162,SP,1957,UNNAMED,Not in target basins
1957032S12140,SP,1957,UNNAMED,Not in target basins
1957035S11189,SP,1957,UNNAMED,Not in target basins
1957053S11179,SP,1957,UNNAMED,Not in target basins
1957061S11134,SP,1957,UNNAMED,Not in target basins
1957086S12160,SP,1957,UNNAMED,Not in target basins
1957096S10136,SP,1957,UNNAMED,Not in target basins
1957122N03154,EP,1957,TRIX,Not in target basins
1957196N12252,EP,1957,KANOA,Not in target basins
1957218N18234,EP,1957,UNNAMED,Not in target basins
1957221N14252,EP,1957,UNNAMED,Not in target basins
1957238N14153,EP,1957,BESS,Not in target basins
1957244N15210,EP,1957,DELLA,Not in target basins
1957252N15221,EP,1957,UNNAMED,Not in target basins
1957258N17147,EP,1957,ELAINE,Not in target basins
1957260N15261,EP,1957,UNNAMED,Not in target basins
1957261N10147,EP,1957,FAYE,Not in target basins
1957264N20251,EP,1957,UNNAMED,Not in target basins
1957268N12198,EP,1957,UNNAMED,Not in target basins
1957270N14260,EP,1957,UNNAMED,Not in target basins
1957275N17241,EP,1957,UNNAMED,Not in target basins
1957276N09151,EP,1957,HESTER,Not in target basins
1957291N13257,EP,1957,UNNAMED,Not in target basins
1957291N14155,EP,1957,JUDY,Not in target basins
1957294N16247,EP,1957,UNNAMED,Not in target basins
1957294N18249,EP,1957,UNNAMED,Not in target basins
1957311N06171,EP,1957,LOLA,Not in target basins
1957311S06180,SP,1958,UNNAMED,Not in target basins
1957321N06172,EP,1957,MAMIE,Not in target basins
1957333N12198,EP,1957,NINA,Not in target basins
1957335S11185,SP,1958,UNNAMED,Not in target basins
1958001S08177,SP,1958,UNNAMED,Not in target basins
1958011S11137,SP,1958,UNNAMED,Not in target basins
1958014S14162,SP,1958,UNNAMED,Not in target basins
1958043S13139,SP,1958,UNNAMED,Not in target basins
1958070S13175,SP,1958,UNNAMED,Not in target basins
1958077S23174,SP,1958,UNNAMED,Not in target basins
