SID,BASIN,SEASON,NAME,max_wind_kt,min_pressure_hpa,max_category,record_count,first_time,last_time,intensity_class
1867032S15081,SI,1867,UNNAMED,,,-5,25,1867-02-01 06:00:00,1867-02-04 06:00:00,Unknown
1867032S15441,SI,1867,UNNAMED,,,-5,13,1867-01-31 18:00:00,1867-02-02 06:00:00,Unknown
1867042S15071,SI,1867,UNNAMED,,,-5,65,1867-02-11 06:00:00,1867-02-19 06:00:00,Unknown
1867046S15071,SI,1867,UNNAMED,,,-5,53,1867-02-14 18:00:00,1867-02-21 06:00:00,Unknown
1867121S13069,SI,1867,UNNAMED,,,-5,37,1867-04-30 18:00:00,1867-05-05 06:00:00,Unknown
1867121S13070,SI,1867,UNNAMED,,,-5,49,1867-05-01 06:00:00,1867-05-07 06:00:00,Unknown
1867345S19059,SI,1868,UNNAMED,,,-5,43,1867-12-11 00:00:00,1867-12-16 06:00:00,Unknown
1868001S17055,SI,1868,UNNAMED,,,-5,41,1868-01-01 06:00:00,1868-01-06 06:00:00,Unknown
1868001S18055,SI,1868,UNNAMED,,,-5,25,1868-01-01 06:00:00,1868-01-04 06:00:00,Unknown
1868011S17062,SI,1868,UNNAMED,,,-5,33,1868-01-11 06:00:00,1868-01-15 06:00:00,Unknown
1868032S17081,SI,1868,UNNAMED,,,-5,65,1868-02-01 06:00:00,1868-02-09 06:00:00,Unknown
1868032S17441,SI,1868,UNNAMED,,,-5,53,1868-01-31 18:00:00,1868-02-07 06:00:00,Unknown
1868071S15066,SI,1868,UNNAMED,,,-5,57,1868-03-11 06:00:00,1868-03-18 06:00:00,Unknown
1868071S15426,SI,1868,UNNAMED,,,-5,45,1868-03-10 18:00:00,1868-03-16 06:00:00,Unknown
1868306S08077,SI,1869,UNNAMED,,,-5,37,1868-10-31 18:00:00,1868-11-05 06:00:00,Unknown
1868316S08077,SI,1869,UNNAMED,,,-5,49,1868-11-11 06:00:00,1868-11-17 06:00:00,Unknown
1869021S21053,SI,1869,UNNAMED,,,-5,49,1869-01-21 06:00:00,1869-01-27 06:00:00,Unknown
1869039S19053,SI,1869,UNNAMED,,,-5,33,1869-02-08 06:00:00,1869-02-12 06:00:00,Unknown
1869042S18054,SI,1869,UNNAMED,,,-5,49,1869-02-11 06:00:00,1869-02-17 06:00:00,Unknown
1869042S20072,SI,1869,UNNAMED,,,-5,33,1869-02-11 06:00:00,1869-02-15 06:00:00,Unknown
1869046S20071,SI,1869,UNNAMED,,,-5,21,1869-02-14 18:00:00,1869-02-17 06:00:00,Unknown
1869052S19084,SI,1869,UNNAMED,,,-5,25,1869-02-21 06:00:00,1869-02-24 06:00:00,Unknown
1869091S11073,SI,1869,UNNAMED,,,-5,33,1869-04-01 06:00:00,1869-04-05 06:00:00,Unknown
1869091S11433,SI,1869,UNNAMED,,,-5,21,1869-03-31 18:00:00,1869-04-03 06:00:00,Unknown
1869305S06092,SI,1870,UNNAMED,,,-5,61,1869-10-31 18:00:00,1869-11-08 06:00:00,Unknown
1869345S18073,SI,1870,UNNAMED,,,-5,41,1869-12-11 06:00:00,1869-12-16 06:00:00,Unknown
1869345S18074,SI,1870,UNNAMED,,,-5,29,1869-12-10 18:00:00,1869-12-14 06:00:00,Unknown
1870001S31048,SI,1870,UNNAMED,,,-5,33,1870-01-01 06:00:00,1870-01-05 06:00:00,Unknown
1870001S32049,SI,1870,UNNAMED,,,-5,17,1870-01-01 06:00:00,1870-01-03 06:00:00,Unknown
1870021S10057,SI,1870,UNNAMED,,,-5,33,1870-01-21 06:00:00,1870-01-25 06:00:00,Unknown
1870021S11056,SI,1870,UNNAMED,,,-5,17,1870-01-21 06:00:00,1870-01-23 06:00:00,Unknown
1870042S15066,SI,1870,UNNAMED,,,-5,49,1870-02-11 06:00:00,1870-02-17 06:00:00,Unknown
1870046S16066,SI,1870,UNNAMED,,,-5,37,1870-02-14 18:00:00,1870-02-19 06:00:00,Unknown
1870052S20109,SI,1870,UNNAMED,,,-5,65,1870-02-21 06:00:00,1870-03-01 06:00:00,Unknown
1870101S07108,SI,1870,UNNAMED,,,-5,69,1870-04-10 18:00:00,1870-04-19 06:00:00,Unknown
1870101S09087,SI,1870,UNNAMED,,,-5,89,1870-04-11 06:00:00,1870-04-22 06:00:00,Unknown
1870101S09447,SI,1870,UNNAMED,,,-5,77,1870-04-10 18:00:00,1870-04-20 06:00:00,Unknown
1871001S12089,SI,1871,UNNAMED,,,-5,57,1871-01-01 06:00:00,1871-01-08 06:00:00,Unknown
1871001S16061,SI,1871,UNNAMED,,,-5,65,1871-01-01 06:00:00,1871-01-09 06:00:00,Unknown
1871021S09087,SI,1871,UNNAMED,,,-5,57,1871-01-21 06:00:00,1871-01-28 06:00:00,Unknown
1871052S11095,SI,1871,UNNAMED,,,-5,33,1871-02-21 06:00:00,1871-02-25 06:00:00,Unknown
1871080S15108,SI,1871,UNNAMED,,,-5,37,1871-03-20 18:00:00,1871-03-25 06:00:00,Unknown
1871080S16068,SI,1871,UNNAMED,,,-5,37,1871-03-20 18:00:00,1871-03-25 06:00:00,Unknown
1871182S04095,SI,1872,UNNAMED,,,-5,33,1871-07-01 06:00:00,1871-07-05 06:00:00,Unknown
1871192S04095,SI,1872,UNNAMED,,,-5,49,1871-07-11 06:00:00,1871-07-17 06:00:00,Unknown
1871305S04100,SI,1872,UNNAMED,,,-5,41,1871-11-01 06:00:00,1871-11-06 06:00:00,Unknown
1871305S04460,SI,1872,UNNAMED,,,-5,29,1871-10-31 18:00:00,1871-11-04 06:00:00,Unknown
1872021S18054,SI,1872,UNNAMED,,,-5,41,1872-01-21 06:00:00,1872-01-26 06:00:00,Unknown
1872021S19053,SI,1872,UNNAMED,,,-5,25,1872-01-21 06:00:00,1872-01-24 06:00:00,Unknown
1872032S12085,SI,1872,UNNAMED,,,-5,105,1872-02-01 06:00:00,1872-02-14 06:00:00,Unknown
1872032S15074,SI,1872,UNNAMED,,,-5,49,1872-02-01 06:00:00,1872-02-07 06:00:00,Unknown
1872032S15434,SI,1872,UNNAMED,,,-5,37,1872-01-31 18:00:00,1872-02-05 06:00:00,Unknown
1872039S12085,SI,1872,UNNAMED,,,-5,93,1872-02-07 18:00:00,1872-02-19 06:00:00,Unknown
1872042S13104,SI,1872,UNNAMED,,,-5,41,1872-02-11 06:00:00,1872-02-16 06:00:00,Unknown
1872046S13104,SI,1872,UNNAMED,,,-5,29,1872-02-14 18:00:00,1872-02-18 06:00:00,Unknown
1872071S05087,SI,1872,UNNAMED,,,-5,45,1872-03-10 18:00:00,1872-03-16 06:00:00,Unknown
1872071S05088,SI,1872,UNNAMED,,,-5,57,1872-03-11 06:00:00,1872-03-18 06:00:00,Unknown
1872071S17051,SI,1872,UNNAMED,,,-5,37,1872-03-10 18:00:00,1872-03-15 06:00:00,Unknown
1872092S23053,SI,1872,UNNAMED,,,-5,33,1872-04-01 06:00:00,1872-04-05 06:00:00,Unknown
1872092S24053,SI,1872,UNNAMED,,,-5,21,1872-03-31 18:00:00,1872-04-03 06:00:00,Unknown
1872122S14066,SI,1872,UNNAMED,,,-5,33,1872-05-01 06:00:00,1872-05-05 06:00:00,Unknown
1872122S14426,SI,1872,UNNAMED,,,-5,21,1872-04-30 18:00:00,1872-05-03 06:00:00,Unknown
1872275S14070,SI,1873,UNNAMED,,,-5,45,1872-09-30 18:00:00,1872-10-06 06:00:00,Unknown
1872306S15069,SI,1873,UNNAMED,,,-5,29,1872-10-31 18:00:00,1872-11-04 06:00:00,Unknown
1873001S16058,SI,1873,UNNAMED,,,-5,65,1873-01-01 06:00:00,1873-01-09 06:00:00,Unknown
1873001S17058,SI,1873,UNNAMED,,,-5,49,1873-01-01 06:00:00,1873-01-07 06:00:00,Unknown
1873021S17054,SI,1873,UNNAMED,,,-5,65,1873-01-21 06:00:00,1873-01-29 06:00:00,Unknown
1873032S12076,SI,1873,UNNAMED,,,-5,73,1873-02-01 06:00:00,1873-02-10 06:00:00,Unknown
1873032S12436,SI,1873,UNNAMED,,,-5,53,1873-01-31 18:00:00,1873-02-07 06:00:00,Unknown
1873042S14056,SI,1873,UNNAMED,,,-5,57,1873-02-11 06:00:00,1873-02-18 06:00:00,Unknown
1873046S15056,SI,1873,UNNAMED,,,-5,45,1873-02-14 18:00:00,1873-02-20 06:00:00,Unknown
1873060S16067,SI,1873,UNNAMED,,,-5,57,1873-03-01 06:00:00,1873-03-08 06:00:00,Unknown
1873070S10088,SI,1873,UNNAMED,,,-5,41,1873-03-11 06:00:00,1873-03-16 06:00:00,Unknown
1873070S10448,SI,1873,UNNAMED,,,-5,29,1873-03-10 18:00:00,1873-03-14 06:00:00,Unknown
