case_id,case_type,case_timestamp,C_phi,shell_grid_count,QC_Status
1989010N16212,TC,1989-01-09T12:00:00,0.6247726794036119,90,PASSED
2007306N18133,TC,2007-11-01T18:00:00,0.6539820308625237,94,PASSED
2000184N13133,TC,2000-07-02T00:00:00,0.6536990990906147,86,PASSED
2023239N18144,TC,2023-08-27T00:00:00,0.6167671994006824,90,PASSED
2023207N09141,TC,2023-07-26T06:00:00,0.8979982364650332,88,PASSED
1995287N08163,TC,1995-10-13T18:00:00,0.743970308829494,88,PASSED
1990171N11148,TC,1990-06-20T00:00:00,0.7276336142553187,89,PASSED
2003290N15132,TC,2003-10-17T06:00:00,0.7148660633226493,90,PASSED
2000299N08139,TC,2000-10-24T18:00:00,0.761819053745563,91,PASSED
1989221N10149,TC,1989-08-09T00:00:00,0.6137507044772835,86,PASSED
1984290N06153,TC,1984-10-16T00:00:00,0.5874454764419971,92,PASSED
2017200N26162,TC,2017-07-19T06:00:00,0.5907866344744976,96,PASSED
1980208N23153,TC,1980-07-26T06:00:00,0.7069770390708614,97,PASSED
1992212N05154,TC,1992-07-30T00:00:00,0.5968728906180087,89,PASSED
1994222N11267,TC,1994-08-10T06:00:00,0.6129048276165997,86,PASSED
1986112N02152,TC,1986-04-22T00:00:00,0.5749909352666042,86,PASSED
1993263N11168,TC,1993-09-20T06:00:00,0.6564093197105473,91,PASSED
2016256N12146,TC,2016-09-11T12:00:00,0.7196181503280936,86,PASSED
2018294N08161,TC,2018-10-20T18:00:00,0.7593044981050966,91,PASSED
2009270N10148,TC,2009-09-27T00:00:00,0.8138370128345532,88,PASSED
1994224N20152,TC,1994-08-12T00:00:00,0.5911324735660458,92,PASSED
1987244N11177,TC,1987-09-01T06:00:00,0.6421618258147211,92,PASSED
2011233N12129,TC,2011-08-21T06:00:00,0.6380440643723196,89,PASSED
2022239N22150,TC,2022-08-27T00:00:00,0.6323361834819903,98,PASSED
2016355N07146,TC,2016-12-20T00:00:00,0.6342834747691533,88,PASSED
2012263N15141,TC,2012-09-19T00:00:00,0.6182245728582317,90,PASSED
1985284N05159,TC,1985-10-11T00:00:00,0.6352667896969075,85,PASSED
2023234N18128,TC,2023-08-22T00:00:00,0.7501349047902359,93,PASSED
2025260N13138,TC,2025-09-16T18:00:00,0.7310959820523979,92,PASSED
2013306N07162,TC,2013-11-02T06:00:00,0.6040122864308742,85,PASSED
2021265N11150,TC,2021-09-22T06:00:00,0.5145199101881974,91,PASSED
1986134N08149,TC,1986-05-14T00:00:00,0.5941885659593189,88,PASSED
1980277N09157,TC,1980-10-02T12:00:00,0.6357682504890789,88,PASSED
2022254N24143,TC,2022-09-11T06:00:00,0.815410047698951,96,PASSED
CTRL_001,Control,1992-02-22T18:00:00,0.6493721255319564,88,PASSED
CTRL_002,Control,2009-04-28T06:00:00,0.6686946490812012,86,PASSED
CTRL_003,Control,2021-04-23T06:00:00,0.5705768750956101,88,PASSED
CTRL_004,Control,2003-04-17T12:00:00,0.6639644542754932,91,PASSED
CTRL_005,Control,2023-05-16T12:00:00,0.6815113894545508,92,PASSED
CTRL_006,Control,2013-05-23T18:00:00,0.6341176909814787,93,PASSED
CTRL_007,Control,1996-05-29T12:00:00,0.6436508108198857,89,PASSED
CTRL_008,Control,1996-05-17T18:00:00,0.6414799487730104,92,PASSED
CTRL_009,Control,2010-05-04T12:00:00,0.6595421130222413,87,PASSED
CTRL_010,Control,2000-05-26T00:00:00,0.6258650048346799,90,PASSED
CTRL_011,Control,2012-05-29T00:00:00,0.6492773207422158,90,PASSED
CTRL_012,Control,1992-06-01T12:00:00,0.6415165284557549,90,PASSED
CTRL_013,Control,2018-06-14T12:00:00,0.5300056884280716,94,PASSED
CTRL_014,Control,2021-06-01T18:00:00,0.6402615093746189,98,PASSED
CTRL_015,Control,1983-07-19T12:00:00,0.627455632597369,93,PASSED
CTRL_016,Control,1987-07-27T00:00:00,0.6285480507948248,95,PASSED
CTRL_017,Control,2012-07-17T12:00:00,0.7047489421421407,90,PASSED
CTRL_018,Control,2021-08-25T18:00:00,0.6358088781977937,94,PASSED
CTRL_019,Control,1984-08-29T18:00:00,0.66056223154285,94,PASSED
CTRL_020,Control,2001-08-24T12:00:00,0.6056780554927614,97,PASSED
CTRL_021,Control,2016-08-28T18:00:00,0.6895559638836521,98,PASSED
CTRL_022,Control,2012-09-22T06:00:00,0.6138967089873144,92,PASSED
CTRL_023,Control,2002-09-05T06:00:00,0.6488919614668587,90,PASSED
CTRL_024,Control,2009-09-08T00:00:00,0.6707824078032938,91,PASSED
CTRL_025,Control,1983-09-22T06:00:00,0.5786261919627814,90,PASSED
CTRL_026,Control,1990-09-20T00:00:00,0.6014743712531511,97,PASSED
CTRL_027,Control,2019-10-09T00:00:00,0.6305715876629125,86,PASSED
CTRL_028,Control,2002-10-20T12:00:00,0.5999978895585452,88,PASSED
CTRL_029,Control,2006-10-09T12:00:00,0.6059078581520234,89,PASSED
CTRL_030,Control,1995-10-26T00:00:00,0.6527659806773578,89,PASSED
CTRL_031,Control,2018-10-21T12:00:00,0.6541366822767436,91,PASSED
CTRL_032,Control,2015-10-22T18:00:00,0.6498024306508521,86,PASSED
CTRL_033,Control,1982-10-26T06:00:00,0.6829133922520321,90,PASSED
CTRL_034,Control,2002-10-10T12:00:00,0.558834197141704,90,PASSED
CTRL_035,Control,1999-10-20T00:00:00,0.6782061785709306,93,PASSED
CTRL_036,Control,2009-10-31T18:00:00,0.7962522543141993,92,PASSED
CTRL_037,Control,1990-10-22T06:00:00,0.6618145652810553,85,PASSED
CTRL_038,Control,2001-11-20T12:00:00,0.6395014597860234,92,PASSED
CTRL_039,Control,2007-11-28T18:00:00,0.648180696227819,91,PASSED
CTRL_040,Control,1985-11-17T18:00:00,0.5284970238968962,91,PASSED
CTRL_041,Control,2012-11-08T06:00:00,0.6499685757772904,90,PASSED
CTRL_042,Control,2007-11-01T12:00:00,0.6605258313324258,90,PASSED
CTRL_043,Control,2001-11-01T00:00:00,0.7082021763995636,91,PASSED
CTRL_044,Control,1988-11-29T18:00:00,0.6222423358373114,89,PASSED
